"filename", "language", "YAML", "Docker", "Shell Script", "Markdown", "JSON with Comments", "TypeScript", "TypeScript JSX", "JavaScript", "JSON", "PostCSS", "Python", "pip requirements", "Ini", "comment", "blank", "total"
"c:\Projects\3d_Printer_Converter\CascadeProjects\windsurf-project\stl-generator\frontend\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 9, 80
"c:\Projects\3d_Printer_Converter\CascadeProjects\windsurf-project\stl-generator\frontend\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 14, 123
"c:\Projects\3d_Printer_Converter\CascadeProjects\windsurf-project\stl-generator\frontend\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Projects\3d_Printer_Converter\CascadeProjects\windsurf-project\stl-generator\frontend\src\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Projects\3d_Printer_Converter\CascadeProjects\windsurf-project\stl-generator\frontend\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 8, 56
"c:\Projects\3d_Printer_Converter\CascadeProjects\windsurf-project\stl-generator\frontend\src\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Projects\3d_Printer_Converter\CascadeProjects\windsurf-project\stl-generator\frontend\src\lib\api.ts", "TypeScript", 0, 0, 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 1, 10, 176
"c:\Projects\3d_Printer_Converter\CascadeProjects\windsurf-project\stl-generator\frontend\src\lib\utils.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Projects\3d_Printer_Converter\CascadeProjects\windsurf-project\stl-generator\frontend\tailwind.config.ts", "TypeScript", 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 2, 80
"c:\Projects\3d_Printer_Converter\CascadeProjects\windsurf-project\stl-generator\frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Projects\3d_Printer_Converter\CascadeProjects\windsurf-project\stl-generator\setup.sh", "Shell Script", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 51
"Total", "-", 42, 42, 37, 70, 27, 248, 1539, 18, 7616, 56, 1560, 25, 86, 294, 701, 12361
